章节,文件,修改编号,修改前内容,修改后内容
导读,part0.preface/0.1.intro.md,001,（卷首画图片后无致谢文字）,我们也衷心感谢 Mistress Anita Cassidy、Mistress Julie Schmidt Bowen、Master Angus 与 Mistress Nita Gulliver，以及 Mistress Hazel W 和 Master Mark P。
导读,part0.preface/0.1.intro.md,002,如今常存的有信、望、爱这三样，,“如今常存的有信、望、爱这三样，
导读,part0.preface/0.1.intro.md,003,撰稿。␣2012 年,撰稿。2012 年
导读,part0.preface/0.1.intro.md,004,英国广播公司、路透社,英国广播公司（BBC）、路透社
导读,part0.preface/0.1.intro.md,005,High Weald暂无中文译名。直译为“高处的林地”。,“高地林野带”为译者拟译，High Weald 尚无通行中文译名，直译为“高处的林地”。
序言,part0.preface/0.5.preface.md,001,首先、也是最重要的,首先，也是最重要的
序言,part0.preface/0.5.preface.md,002,合意非单偶制 （CNM）,合意非单偶制（CNM）
序言,part0.preface/0.5.preface.md,003,从**饭桌多边关系**[^1]到,从**饭桌多边关系**（后文称饭桌Poly）[^1]到
序言,part0.preface/0.5.preface.md,004,涵盖你的声音,涵盖本人的声音
序言,part0.preface/0.5.preface.md,005,"从""等级分明""到""完全平等""之间的，许多不同的多边关系模式",等级制和平等多边关系之外的多种关系做法
序言,part0.preface/0.5.preface.md,006,不论其的关系模式是什么样,不论其关系做法是什么样
序言,part0.preface/0.5.preface.md,007,……都入不了他们的法眼。你知道吗，……《Sexuality[^4]》期刊……,……连这个念头都还没冒出来。你知道吗，……《Sexualities[^4]》期刊……
序言,part0.preface/0.5.preface.md,008,美国的黑人多边关系专家一直都在尝试让这个话题走向前台，而非反复地说着种族问题的车轱辘话,全书自始至终让美国黑人多边关系专家担纲发声，而非仅在谈种族议题时才把他们搬出来
序言,part0.preface/0.5.preface.md,009,创立1998年,于1998年创立
序言,part0.preface/0.5.preface.md,010,关于非一夫一妻制（CNM）的作品集,关于合意非单偶制（CNM）的作品集
序言,part0.preface/0.5.preface.md,011,关系安那其主义,关系安那其
序言,part0.preface/0.5.preface.md,012,CNM 的普适经验,CNM 中常见的经验
序言,part0.preface/0.5.preface.md,013,考虑得更多一些,更为精到
序言,part0.preface/0.5.preface.md,014,"""它开启了什么（议题），又结束了什么（议题）？""","""它开启了什么、又关闭了什么（可能性、议题等）？"""
序言,part0.preface/0.5.preface.md,015,**开启或者关闭了什么可能性**,**开启了什么、又关闭了什么**
序言,part0.preface/0.5.preface.md,016,在我自己在这一领域的工作中,在我自己这一领域的工作中
序言,part0.preface/0.5.preface.md,017,从 CNM 社区中发生的对话中,从 CNM 社群中发生的对话中
序言,part0.preface/0.5.preface.md,018,是我们导致大多数人自我挣扎（包括精神和身体两方面健康问题）的核心因素,是我们大多数人个人困境（包括精神和身体两方面健康问题）的核心因素
序言,part0.preface/0.5.preface.md,019,种族不公平（injustice）,种族不公正（injustice）
序言,part0.preface/0.5.preface.md,020,更加两极分化的社会,更加失去平衡的社会
序言,part0.preface/0.5.preface.md,021,我们的许多社会抗争,我们的许多社会困境
序言,part0.preface/0.5.preface.md,022,这世界让很多人学会了，对待他人（和自我）时不需要取得对方同意,我们许多人都被训练得习惯以不尊重同意的方式对待自己，也这样对待他人
序言,part0.preface/0.5.preface.md,023,伴侣之间谁都要拿出最好的一面啊,善待彼此啊
序言,part0.preface/0.5.preface.md,024,**强调你与自己的关系，是你最重要的那个（或至少是其中之一）关系**,强调你与自己的关系，是你最重要的那个（或至少是其中之一）关系
序言,part0.preface/0.5.preface.md,025,**瓦解将浪漫关系置于其他一切关系之上的文化等级制度**,瓦解将浪漫关系置于其他一切关系之上的文化等级制度
序言,part0.preface/0.5.preface.md,026,**开启了什么、又关闭了什么**,开启了什么、又关闭了什么
序言,part0.preface/0.5.preface.md,027,**人人都可以学到点什么**,人人都可以学到点什么
导言,part0.preface/0.6.introduction.md,001,巨石阵[^image]埃夫伯里巨石阵,巨石阵[^image]。埃夫伯里巨石阵
导言,part0.preface/0.6.introduction.md,002,宾客大都很有同理心,宾客大都对此抱持认同态度
导言,part0.preface/0.6.introduction.md,003,只有我是新郎工作上的朋友,新郎的工作朋友中，只有我一人受到邀请
导言,part0.preface/0.6.introduction.md,004,大多数英国人的脑子还在关注同性婚姻和跨性别权利,大多数英国人还在努力理解同性婚姻和跨性别权利
导言,part0.preface/0.6.introduction.md,005,当特朗普总统在其任期的最后一段时间里，展现出一个狂犬病发作中男人的贵族尊严时[^3]。薇薇安·魏尔姆斯…结婚了,特朗普总统以狂犬病发作般的贵族尊严捱过任期的最后时光[^3]。就在此时，薇薇安·魏尔姆斯…结婚了
导言,part0.preface/0.6.introduction.md,006,冠状病毒大流行正在把情况搞得越来越糟,冠状病毒大流行正在将情况推向新的低谷
导言,part0.preface/0.6.introduction.md,007,利益共同体,兴趣社群
导言,part0.preface/0.6.introduction.md,008,越来越深入和复杂地报道CNM,越来越深入和专业地报道CNM
导言,part0.preface/0.6.introduction.md,009,能让人们学到什么,能让其他人学到什么
导言,part0.preface/0.6.introduction.md,010,值得我们带着判断力和同理心去探讨,值得我们以理性和同理心去探讨
导言,part0.preface/0.6.introduction.md,011,由于CNM并不被文化所接受，也没有一个……操作方案,由于CNM没有一个能被外部的文化环境所认可、同时被群体内部普遍推崇的操作方案
导言,part0.preface/0.6.introduction.md,012,受到公认的非单偶制的做法,各种各样彼此约定而成的非单偶制的做法
导言,part0.preface/0.6.introduction.md,013,有些单偶的伴侣可能希望探索一些别的做法，或者希望加深自己既有的单偶关系，我也想为他们,为正在探索非单偶选项的人，以及希望加深既有单偶关系的人，我也想为他们
导言,part0.preface/0.6.introduction.md,014,找到与自己有相似之处的人,找到与自己的身份背景相仿的人
导言,part0.preface/0.6.introduction.md,015,很多都是一个接一个出现的,很多都会以相当一致的方式反复出现
